text,label
a thirdperson story now  told by hollywood  and much more ordinary for it ,0
nosurprise series ,0
extra effort to see an artist  still committed to growth in his ninth decade  change while remaining true to his principles ,1
 nickelodeonesque kiddie flick ,1
offers no new insight ,0
disjointed ,0
combined with indoctrinated prejudice ,0
exploitation film ,0
who needs mindbending drugs when they can see this  the final part of the  qatsi  trilogy  directed by godfrey reggio  with music by philip glass  ,1
sly  sophisticated and surprising  ,1
for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over  no such thing is a big letdown  ,0
pale successor ,0
still want my money back  ,0
to the filmmakers  ivan is a prince of a fellow  but he comes across as shallow and glib though not meanspirited  and there s no indication that he s been responsible for putting together any movies of particular value or merit  ,0
as terrible as the synergistic impulse that created it ,0
obnoxious adults ,0
every joke is repeated at least  ,0
for nearly three hours ,1
hugescreen ,1
appears not to have been edited at all ,0
a buoyant romantic comedy about friendship  love  and the truth ,1
seem like such a bore ,0
two thousand and two s first great film ,1
amy and matthew have a bit of a phony relationship  but ,0
classy ,1
clunky tvmovie approach ,0
independent film ,1
with drama  romance  tragedy  bravery  political intrigue  partisans and sabotage ,1
more revealing  more emotional and more surprising  ,1
wo nt have any trouble getting kids to eat up these veggies ,1
ingenious and ,1
outrageous  ingenious ,1
though it pretends to expose the life of male hustlers ,0
a man whose engaging manner and flamboyant style made him a truly largerthanlife character ,1
is unconvincing soap opera that tornatore was right to cut  ,0
the most purely enjoyable and satisfying evenings ,1
demonstrates a vivid imagination and an impressive style that result in some terrific setpieces ,1
gentle and biting ,1
of dumb drug jokes and predictable slapstick ,0
a movie with depth ,1
its plot and animation offer daytime tv serviceability  but little more  ,0
with familiar situations and repetitive scenes ,0
familyoriented ,1
a very resonant chord ,1
has an ambition to say something about its subjects  but not a willingness  ,0
it s pretty stupid  ,0
i ve never seen or heard anything quite like this film  ,1
audiences are advised to sit near the back and squint to avoid noticing some truly egregious lipnonsynching  ,0
seem to keep upping the ante on each other  just as their characters do in the film  ,1
a dull  simpleminded and stereotypical tale of drugs  ,0
uncinematic but ,0
in venice ,1
with so many distracting special effects and visual party tricks ,0
anchored by splendid performances ,1
concentrates far too much on the awkward interplay and utter lack of chemistry between chan and hewitt ,0
too simple and the working out of the plot almost arbitrary ,0
crack you up with her crass  then gasp for gas  verbal deportment ,1
emerges with yet another remarkable yet shockingly littleknown perspective  ,1
 you  will swear that you ve seen it all before  even if you ve never come within a mile of the longest yard  ,0
soontobeforgettable  section ,0
as a dentist s waiting room ,0
downbeat  periodperfect biopic hammers home a heavyhanded moralistic message ,0
imagine  if possible  a pasolini film without passion or politics ,0
suspenseful horror movie ,1
of bland hotels  highways  parking lots ,0
look back at civil disobedience  antiwar movements and the power of strong voices  ,1
are terribly wasted ,0
s nothing remotely topical or sexy here  ,0
faith  love and power ,1
astonishing ,1
likable  but just as often it s meandering  low on energy  and too eager to be quirky at moments when a little oldfashioned storytelling would come in handy  ,0
does nt have anything really interesting to say  ,0
offers a persuasive ,1
to knock back a beer with but they  are simply not funny performers ,0
humorless  selfconscious art drivel  made without a glimmer of intelligence or invention  ,0
playfully profound  and ,1
like a comedian who starts off promisingly but then proceeds to flop ,0
of his way to turn the legendary wit s classic mistaken identity farce into brutally labored and unfunny hokum ,0
hard to believe these jokers are supposed to have pulled off four similar kidnappings before ,0
nutty  consistently funny  ,1
masterpiece  ,1
takes a simple premise and carries it to unexpected heights  ,1
become apparent that the franchise s best years are long past ,0
notsofunny gags  ,0
listless direction ,0
grayish quality ,0
is the kathie lee gifford of film directors  sadly proving once again ego does nt always go hand in hand with talent  ,0
rendered with such clarity that it s as if it all happened only yesterday ,1
the pianist is the film roman polanski may have been born to make  ,1
sandra bullock and hugh grant make a great team ,1
 what s the russian word for wow   ,1
meandering  low on energy ,0
comes along only occasionally ,1
too indulgent ,0
novel ,1
exceptional performances ,1
those rare films that come by once in a while with flawless amounts of acting  direction  story and pace ,1
it ai nt art  by a long shot  ,0
the worst possibilities of mankind ,0
s better than the phantom menace ,1
most daring ,1
which also seems to play on a tenyear delay ,0
scary  actionpacked chiller ,1
into a gutwrenching examination of the way cultural differences and emotional expectations collide ,1
its playwriting one hundred and one premise ,1
of a movie  a vampire soap opera that does nt make much ,0
similar obsessions can dominate a family ,0
posing as a serious drama about spousal abuse ,0
goes further ,1
petter næss  delicate  clever direction  and a wonderful  imaginative script ,1
brimming ,1
my two hours better watching ,0
bland hotels ,0
the refreshingly unhibited enthusiasm ,1
it explores the awful complications of one terrifying day ,1
lousy guy ritchie imitation ,0
if you come from a family that eats  meddles  argues  laughs  kibbitzes and fights together  then go see this delightful comedy  ,1
it s a heck of a ride ,1
to his series of spectacular belly flops both on and off the screen ,0
ultimately defeated the film  it was the unfulfilling  incongruous   wait a second ,0
it an aboveaverage thriller ,1
trouble every day is a plodding mess  ,0
a stirring  funny ,1
liked this film a lot ,1
a more confused  less interesting and more sloppily made film could possibly come down the road in two thousand and two ,0
search of purpose or even a plot ,0
hate the feeling of having been slimed in the name of high art  ,0
a disappointingly thin slice of lowerclass london life  despite the title ,0
leaves blue crush waterlogged ,0
most audacious  ,1
reign of fire never comes close to recovering from its demented premise  but ,0
comprise a powerful and reasonably fulfilling gestalt  ,1
cute partnership ,1
a total lack ,0
  hopkins  does nt so much phone in his performance as fax it  ,0
involving in its bold presentation ,1
most notable ,1
fixating ,1
dull girl ,0
nothing overly original  mind you  but solidly entertaining  ,1
it all seemed wasted like deniro s once promising career and the once grand long beach boardwalk  ,0
it s tommy s job to clean the peep booths surrounding her  and after viewing this one  you  will feel like mopping up  too ,0
not great ,0
toilethumor ,0
does its best ,1
be exploring the idea of why human beings long for what they do nt have  and how this gets us in trouble ,1
filmed directly ,1
adorably ditsy but heartfelt performances ,1
s usually a bad sign when directors abandon their scripts and go where the moment takes them ,0
with cheapo animation  like saturday morning tv in the sixtys   a complex swordandsorcery plot and characters who all have big round eyes and japanese names  ,0
manages to nail the spiritcrushing ennui of denuded urban living without giving in to it ,1
take  its  earnest errors and hardwon rewards over the bombastic selfglorification of other feelgood fiascos like antwone fisher or the emperor s club any time ,1
hollow  selfindulgent  and  worst of all  boring ,0
although olivier assayas  elegantly appointed period drama seems  at times  padded with incident in the way of a tooconscientious adaptation ,0
to get a coherent rhythm going ,0
hard to care ,0
as the princess  sorvino glides gracefully from male persona to female without missing a beat  ,1
critical and commercial disaster ,0
 frailty  has been written so well  that even a simple  goddammit   ,1
s fun  wispy ,1
halfbaked setups and sluggish pacing ,0
at every opportunity to do something clever  the film goes right over the edge and kills every sense of believability  ,0
it looks good  sonny  ,1
to being the barnburningly bad movie it promised it would be ,0
found the ring moderately absorbing  largely for its elegantly colorful look and sound  ,1
flatout amusing  sometimes endearing and ,1
s a solid movie about people whose lives are anything but  ,1
if there s no art here ,0
seem tired ,0
astringent wit ,1
is definitely a director to watch  ,1
the sally jesse raphael atmosphere of films like philadelphia and american beauty ,1
its accumulated enjoyment ,1
emotionally intense ,1
absolutely refreshed ,1
 washington s  strong hand  keen eye  sweet spirit and good taste are reflected in almost every scene  ,1
will absolutely crack you up with her crass  then gasp for gas  verbal deportment  ,1
play their roles with vibrant charm ,1
its share of laughs  sometimes a chuckle  sometimes a guffaw and  to my great pleasure  the occasional belly laugh ,1
strangely moved by even the corniest and most hackneyed contrivances ,1
on the strength of their own cleverness ,1
incredibly irritating comedy ,0
unexpected  and often contradictory  truths emerge  ,1
enough funny ,1
time out is existential drama without any of the pretension associated with the term  ,1
a clash between the artificial structure of the story and the more contemporary  naturalistic tone of the film  ,0
informative and ,1
out of control ,0
the mark of a respectable summer blockbuster is one of two things  unadulterated thrills or genuine laughs  ,1
a case study that exists apart from all the movie s political ramifications ,1
is badly edited  often awkwardly directed and suffers from the addition of a wholly unnecessary precredit sequence designed to give some of the characters a  back story  ,0
happens when something goes bump in the night and nobody cares  ,0
the real triumphs in igby come from philippe  who makes oliver far more interesting than the character s lines would suggest  and sarandon  who could nt be better as a cruel but weirdly likable wasp matron  ,1
directed the film from the back of a taxicab ,0
the incessant use ,0
a retooling of fahrenheit four hundred and fiftyone  and even as a ripoff of the matrix ,0
their memorable and resourceful performances ,1
a welcome  if downbeat  missive ,1
a good thing ,1
that a life like this can sound so dull ,0
adventure movie ,1
got something ,1
a film that comes along every day  ,0
lilo  stitch has a number of other assets to commend it to movie audiences both innocent and jaded  ,1
a reasonable degree ,1
it s up to  watts  to lend credibility to this strange scenario  and ,1
a cute alien creature ,1
magic and whimsy ,1
time and art ,1
there  done that  a thousand times already ,0
not as outrageous or funny ,0
conceptual feat ,1
a part of its fun ,1
can only love the players it brings to the fore for the gifted but nononsense human beings they are and for the stillinestimable contribution they have made to our shared history  ,1
emotionally complex  dramatically satisfying heroine ,1
thrills the eye ,1
interesting matters of identity and heritage ,1
morality  family  and social expectation ,1
fun  with an undeniable energy ,1
wellbalanced fashion ,1
 are the unnamed  easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid  ,0
vivid ,1
traditional layers of awakening and ripening and ,1
stoked ,1
trash ,0
in rhetoric and cliché ,0
wonderful  imaginative script ,1
work as a jaunt down memory lane for teens and young adults who grew up on televised scoobydoo shows or reruns ,1
diverges from anything ,1
it is not worth ,0
as immaculate as stuart little two is  it could be a lot better if it were  well  more adventurous  ,1
realistic  nonexploitive approach ,1
of his sweetness and vulnerability ,1
a worthwhile documentary  whether you  are into rap or not  even if it may still leave you wanting more answers as the credits ,1
rivals the top japanese animations of recent vintage ,1
formulaic  its plot and pacing typical hollywood warmovie stuff  while the performances elicit more of a sense of deja vu than awe ,0
is bravado  to take an entirely stale concept and push it through the audience s meat grinder one more time ,0
starts promisingly but disintegrates into a dreary  humorless soap opera  ,0
humor  warmth  and intelligence ,1
is extraordinarily good  ,1
oozing with attractive men ,1
swim represents an engaging and intimate first feature by a talented director to watch ,1
 the film amounts to being lectured to by techgeeks  if you  are up for that sort of thing  ,0
undoubtedly the scariest movie ever made about tattoos  ,1
more simply intrusive to the story ,0
a spectacular completion one ,1
three splendid actors ,1
we hate  madonna  within the film s first five minutes  and ,0
more confused  less interesting and more ,0
on the irrelevant as on the engaging  which gradually turns what time ,0
the film retains ambiguities that make it well worth watching  ,1
tv sitcom material ,0
by an overly sillified plot and stopandstart pacing ,0
balance all the formulaic equations in the longwinded heist comedy ,0
blithe rebel fantasy ,1
s not even a tv special you  would bother watching past the second commercial break ,0
perhaps even the slc high command found writerdirector mitch davis s wall of kitsch hard going  ,0
nothing about the film  with the possible exception of elizabeth hurley s breasts  is authentic  ,0
some body smacks of exhibitionism more than it does cathartic truth telling  ,0
a shame that stealing harvard is too busy getting in its own way to be anything but frustrating  boring  and forgettable  ,0
enjoyable family fare ,1
relegated to the background  a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty ,1
 but your ego ,0
to conceive anyone else in their roles ,1
a muddy psychological thriller ,0
sandra bullock and hugh grant make a great team  but this predictable romantic comedy should get a pink slip ,0
spectacular in every sense of the word  even if you don  t ,1
less the sensational truecrime helljaunt purists might like and more experimental in its storytelling  though no less horrifying for it   ,1
abuse ,0
acting  poorly dubbed dialogue and murky cinematography ,0
very much like life ,1
 wistful new film ,1
energy it s documenting ,1
bludgeoning ,0
the kind of movie that deserves a chance to shine ,1
 being real  ,1
roars with leonine power ,1
featuring reams of flatly ,0
structured and ,1
succeeds ,1
shiner ,1
across its indulgent twohourandfifteenminute length ,1
may  work as a jaunt down memory lane for teens and young adults who grew up on televised scoobydoo shows or reruns  ,1
goodnaturedly ,1
 and by casting an actress whose face projects that woman s doubts and yearnings ,1
most of the things that made the original men in black such a pleasure are still there  ,1
is darkly funny in its observation of just how much more grueling and timeconsuming the illusion of work is than actual work ,1
this flick is fun  and host to some truly excellent sequences  ,1
for children ,1
engaging mix ,1
most ingenious film ,1
because of its epic scope ,1
to see a movie that takes such a speedy swan dive from  promising  to  interesting  to  familiar  before landing squarely on  stupid  ,0
the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking  but humming ,1
is  in fact  so interesting ,1
unwieldy contraption  ,0
those twentyfourandunders looking for their own caddyshack to adopt as a generational signpost may have to keep on looking  ,0
feel good about ,1
the mood for an intelligent weepy ,1
ultimately the  yes  snaillike pacing and lack of thematic resonance make the film more silly than scary  like some sort of martha stewart decorating program run amok  ,0
to say that it does nt follow the stale  standard  connectthedots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ,1
the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should  ,1
its occasional charms ,1
carrying off a spoton scottish burr  duvall  also a producer  peels layers from this character that may well not have existed on paper  ,1
masterfully calibrated psychological thriller ,1
vividly detailed story about newcomers in a strange new world ,1
be the best and most mature comedy of the two thousand and two summer season speaks more of the season than the picture ,1
the reunion ,1
rae ,1
treat for its depiction on not giving up on dreams when you  are a struggling nobody ,1
duds ,0
sure  i hated myself in the morning  ,0
a film in a class with spike lee s masterful do the right thing  ,1
it at least calls attention to a problem hollywood too long has ignored ,1
of the great crimes ,0
in all the right ways ,1
any summer blockbuster ,1
but on the whole  you  are gon na like this movie  ,1
far from heaven is a dazzling conceptual feat  but more than that  it s a work of enthralling drama  ,1
with which it tries to pump life into overworked elements from eastwood s dirty harry period ,0
a typical bible killer story ,0
indescribably bad ,0
succeeded in ,1
it s a compelling and horrifying story ,1
for an unfocused screenplay ,0
particular interest ,1
you get to see the one of the world s best actors  daniel auteuil  ,1
lovingly photographed in the manner of a golden book sprung to life  stuart little two manages sweetness largely without stickiness  ,1
elegance and maturity ,1
film to drag on for nearly three hours ,0
 this movie proves you wrong on both counts  ,1
work up much entertainment value ,1
highly uneven and inconsistent  margarita happy hour kind of ,0
both heartbreaking and ,1
an intimacy ,1
how to win the battle ,1
a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth ,1
has this sneaky feel to it  as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product  ,0
cheery and tranquil suburban life ,1
getting tired of the whole slomo  doublepistoled  ballisticpyrotechnic hong kong action aesthetic ,0
has thankfully ditched the saccharine sentimentality of bicentennial man in favor of an altogether darker side ,1
for purposes of bland hollywood romance ,0
old story ,0
avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type ,1
to merit such superficial treatment ,0
showcase the canadian s inane ramblings ,0
takes a hatinhand approach to rowling that stifles creativity and allows the film to drag on for nearly three hours  ,0
a fastmoving and cheerfully simplistic eightyeight minutes of exaggerated action ,1
is so thoughtlessly assembled  ,0
which is way too stagy ,0
one of the most interesting writerdirectors ,1
humor and heart and very talented young actors ,1
falls victim to sloppy plotting  an insultingly unbelievable final act and a villainess who is too crazy to be interesting ,0
seem bound and determined to duplicate bela lugosi s nowcliched vampire accent ,0
it s stylishly directed with verve  ,1
moved ,1
s far too tragic ,0
like me  think an action film disguised as a war tribute is disgusting to begin with ,0
a convincing one ,1
seem sincere  and just ,1
lot to do with the casting of juliette binoche as sand  who brings to the role her pale  dark beauty and characteristic warmth ,1
 i guess a space station in the year two thousand four hundred and fiftyfive can be crossed off the list of ideas for the inevitable future sequels  hey  do nt shoot the messenger   ,0
merely bad ,0
dismiss ,0
barry convinces us he s a dangerous  secretly unhinged guy who could easily have killed a president because it made him feel powerful  ,1
s a square  sentimental drama that satisfies  as comfort food often can  ,1
a little melodramatic  but with enough hope to keep you engaged  ,1
 director robert j siegel allows the characters to inhabit their world without cleaving to a narrative arc  ,1
an unfortunate title for a film that has nothing endearing about it  ,0
a comingofage story and cautionary parable ,1
cremaster three is at once a tough pill to swallow and a minor miracle of selfexpression  ,1
cold ,0
narcissism and selfcongratulation ,0
an edifying glimpse into the wit and revolutionary spirit of these performers and their era ,1
sabotaged by pomposity ,0
starring a  snl  hasbeen acting like an eightyearold channeling roberto benigni ,0
the fascination comes in the power of the huston performance  which seems so larger than life and yet so fragile ,1
fresh territory ,1
offers piercing domestic drama with spikes of sly humor  ,1
like the world of his film  hartley created a monster but did nt know how to handle it  ,0
overdone ,0
sharp ,1
three sides of his story with a sensitivity and an inquisitiveness reminiscent of truffaut ,1
subtle  and resonant ,1
 selfimportant stories ,0
feels like pieces a bunch of other  better movies slapped together  ,0
this movie loves women at all ,1
imponderably stilted and selfconsciously arty ,0
of loss and denial and lifeatarm s  length in the film ,0
pitchperfect ,1
wise  wizened ,1
s sharply comic and surprisingly touching  ,1
of balto ,1
the most magical and most fun family fare of this or any recent holiday season ,1
in all  an interesting look at the life of the campaigntrail press  especially ones that do nt really care for the candidate ,1
such an excellent job of critiquing itself at every faltering halfstep of its development that criticizing feels more like commiserating ,0
a flourish ,1
an exhilarating new interpretation in morvern callar ,1
is that windinthehair exhilarating ,1
a  range ,1
fit well together ,1
of tastelessness and gall ,0
as the chatter of parrots raised on oprah ,0
tasty and sweet ,1
simpleminded ,0
flat and ,0
insightfully written  delicately performed ,1
bracing ,1
a muddled limp biscuit ,0
slapping its target audience ,0
too many characters saying too many clever things and getting into too many pointless situations ,0
lifechanging chance encounters ,1
while i ca nt say it s on par with the first one  stuart little two is a light  fun cheese puff of a movie  ,1
that it looks neat ,1
most of the dialogue made me want to pack raw dough in my ears  ,0
shtick ,0
does nt give us a reason to be in the theater beyond wilde s wit and the actors  performances ,0
intelligent  and humanly funny film  ,1
as if trying to grab a lump of playdoh  the harder that liman tries to squeeze his story  the more details slip out between his fingers  ,0
the highly predictable narrative falls short ,0
see what he could make with a decent budget ,1
 it s contrived and predictable ,0
into a warmed over pastiche ,0
deeply absorbing ,1
interesting characters or even a halfway intriguing plot ,1
the lively intelligence ,1
brooding ,0
a legend ,1
pathetic  endearing ,1
completely forgettable ,0
the station looking for a return ticket to realism ,0
a stereotype ,0
s also somewhat clumsy ,0
solid  kineticallycharged spy flick worthy ,1
the film is wellintentioned ,1
imaginative filmmaker ,1
despite terrific special effects and funnier gags  harry potter and the chamber of secrets finds a way to make jk rowling s marvelous series into a deadly bore  ,0
it has some cute moments  funny scenes  and hits the target audience  young bow wow fans   with nothing but net ,1
with clumsy dialogue  heavyhanded phoneyfeeling sentiment  and an overlyfamiliar set ,0
of a slightly more literate filmgoing audience ,1
his usual intelligence and subtlety ,1
the sheer ugliness of everything else ,0
cram too many ingredients into one small pot ,0
bible stores of the potential for sanctimoniousness  making them meaningful for both kids and churchwary adults ,1
like many western action films  this thriller is too loud and thoroughly overbearing  ,0
drawn in by the sympathetic characters ,1
more plot ,1
s not halfbad  ,1
a truly largerthanlife character ,1
harmless fun  ,1
like having two guys yelling in your face for two hours ,0
than this hastily dubbed disaster ,0
guide a loose  poorly structured film through the pitfalls of incoherence and redundancy ,0
sweet  and intermittently hilarious ,1
a stylish cast and some clever scripting solutions help chicago make the transition from stage to screen with considerable appeal intact  ,1
with phony imagery or music ,0
painfully flat ,0
good documentarian ,1
stunning technical achievement ,1
a lovely and beautifully photographed romance  ,1
stimulating and ,1
they spend years trying to comprehend it ,0
it s too harsh to work as a piece of storytelling ,0
bullock and grant still look ill at ease sharing the same scene  ,0
strained caper movies that s hardly any fun to watch and begins to vaporize from your memory minutes after it ends ,0
saving ,1
potentially trite and overused concept ,0
full of nuance and character dimension ,1
cleverly worked out ,1
giving it a strong thumbs up ,1
his films so memorable ,1
a sudden turn and devolves ,0
were more repulsive ,0
have a sense of humor ,1
because both are just actory concoctions  defined by childlike dimness and a handful of quirks ,0
thanks to the presence of  the king ,1
is as difficult for the audience ,0
a worldlywise and very funny script ,1
is cheap junk and an insult to their deathdefying efforts ,0
it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times  ,1
recycled more times ,0
do nt think that ac will help this movie one bit ,0
s weird  wonderful  and not necessarily for kids ,1
its oscar nomination ,1
a sweet  tender sermon about a twelveyearold welsh boy more curious ,1
cloaks a familiar antifeminist equation  career  kids  misery  in tiresome romanticcomedy duds  ,0
it s won ,1
watch  giggle ,1
has moments of inspired humor ,1
in this fascinating portrait of a modern lothario ,1
the movie straddles the fence between escapism and social commentary  and on both sides it falls short  ,0
this funny film ,1
berry s saucy  ,1
many ways the perfect festival film ,1
done any better in bringing the story of spiderman to the big screen ,1
capable of anteing up some movie star charisma ,1
their shallow styles ,0
the woodman seems to have directly influenced this girlmeetsgirl love story  but even more reassuring is how its makers actually seem to understand what made allen s romantic comedies so pertinent and enduring  ,1
one of recent memory s most thoughtful films about art  ethics  and the cost of moral compromise  ,1
naturally funny film ,1
from director mark romanek s selfconscious scrutiny ,0
that if the video is nt back at blockbuster before midnight  you  are going to face frightening late fees ,0
from a genre  the gangstercrime comedy  that wore out its welcome with audiences several years ago ,0
characteristically startling visual style ,1
abundant ,1
skins has a desolate air  but eyre  a native american raised by white parents  manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor  ,1
with a jarring  newagey tone creeping into the second half ,0
over the bombastic selfglorification of other feelgood fiascos like antwone fisher or the emperor s club any time ,1
the good  ,1
and they succeed merrily at their noble endeavor  ,1
local ,1
can get your money back ,0
congrats disney on a job well done  i enjoyed it just as much  ,1
a sundrenched masterpiece ,1
s been responsible for putting together any movies of particular value or merit ,0
in a contest to see who can outbadact the other ,0
ultimate blame ,0
one of the most highconcept sci fi adventures attempted for the screen ,1
a movie so sloppy  so uneven  so damn unpleasant ,0
their outrageousness ,1
is a towering siren  ,1
is prime escapist fare  ,1
 satisfying ,1
sade achieves the nearimpossible ,1
deeply concerned with morality ,1
see a romance this smart ,1
so sloppy  so uneven  so ,0
a cellophanepop remake of the punk classic ladies and gentlemen  the fabulous stains  crossroads is never much worse than bland or better than inconsequential ,0
does somehow manage to get you under its spell ,1
at keeping themselves kicking ,1
world traveler might not go anywhere new  or arrive anyplace special  but it s certainly an honest attempt to get at something  ,1
of the problems with the film ,0
ethnic sleeper ,1
 a ripping good yarn is told  ,1
s what makes it worth a recommendation ,1
keep you engaged ,1
s nothing interesting in unfaithful whatsoever ,0
sit and stare and turn away from one another instead of talking ,0
m not sure these words have ever been together in the same sentence ,0
proved too difficult a text to  lick   despite the efforts of a firstrate cast  ,0
castrated ,0
it s a fantastic movie ,1
 standoffish to everyone else  and smugly suggests a superior moral tone is more important than filmmaking skill ,0
wedgie ,0
of a brutally honest individual like prophet jack ,1
the best ,1
makes less sense than the bruckheimeresque american action flicks it emulates  ,0
the jokes  most at women s expense ,0
perfectly pleasant if ,1
his life drew to a close ,0
s lovely ,1
appreciates the art and reveals a music scene that transcends culture and race  ,1
should be able to appreciate the wonderful cinematography and naturalistic acting  ,1
a snore and ,0
are rendered with such clarity that it s as if it all happened only yesterday ,1
the cinema world s great visual stylists ,1
what s missing in murder by numbers is any real psychological grounding for the teens  deviant behavior  ,0
is complex from the start  and  refreshingly  stays that way  ,1
is an accuracy of observation in the work of the director  frank novak  that keeps the film grounded in an undeniable social realism  ,1
skilled ,1
like the imaginary sport it projects onto the screen  loud  violent and mindless  ,0
considerable ,1
grinds itself out ,0
much as i laughed throughout the movie ,1
emotionally complex ,1
an eloquent memorial ,1
 however entertainingly presented  ,0
with a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life ,1
to mind  while watching eric rohmer s tribute to a courageous scottish lady ,1
s a solid movie about people whose lives are anything but ,1
contriving ,0
the big summer movies ,1
a tremendous  offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him  especially the coen brothers and steven soderbergh ,1
clooney directs this film always keeping the balance between the fantastic and the believable  ,1
that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful  selfsatisfied twentytwoyearold girlfriend and an equally beautiful  selfsatisfied eighteenyearold mistress ,1
the bottom line with nemesis is the same as it has been with all the films in the series  fans will undoubtedly enjoy it  and the uncommitted need nt waste their time on it ,0
this retooled machine is ultimately effective enough at achieving the modest  crowdpleasing goals it sets for itself  ,1
watch for that sense of openness  the little surprises  ,1
the script was reportedly rewritten a dozen times  either eleven times too many or else too few ,0
as you watch them clumsily mugging their way through snow dogs  ,0
jfk conspiracy nuts ,0
too goodly  wise and knowing or downright comically evil ,1
the increasingly diverse french director ,1
more than a ,1
has its redundancies ,0
the style and flash of the doublecross that made mamet s  house of games  and last fall s  heist  so much fun ,1
jazzy score ,1
 sorority boys  was funnier  and that movie was pretty bad  ,0
is both a snore and utter tripe  ,0
quickly sinks into bythenumbers territory  ,0
this twentyth anniversary edition of the film ,1
content merely to lionize its title character and exploit his anger  all for easy sanctimony  formulaic thrills and a hamfisted sermon on the need for national health insurance  ,0
misconceived final ,0
might have been saved if the director  tom dey  had spliced together bits and pieces of midnight run and fortyeight hours  and  for that matter  shrek  ,0
resentment ,0
value whatsoever ,0
that there is nothing in it to engage children emotionally ,0
a captivatingly quirky hybrid ,1
a strong and confident work which works so well for the first eightynine minutes  but ends so horrendously confusing in the final two ,1
creates images even more haunting than those in mr spielberg s one thousand nine hundred and ninetythree classic ,1
tired retread ,0
sorvino glides gracefully from male persona to female without missing a beat  ,1
opening up ,1
addition to scoring high for originality of plot ,1
daughter ,1
final verdict ,1
by his lack of selfawareness ,0
pulpy ,0
the simpering soundtrack and editing ,0
its economical ,1
cinematic bon bons ,1
get out ,0
is wrong in its sequel ,0
fascination  ,1
is cinema ,1
the gifts of all involved  starting with spielberg and going right through the ranks of the players  oncamera and off  that he brings together  ,1
enthrall the whole family ,1
of all ages ,1
stuffy  full of itself  ,0
hold onto what s left of his passe  chopsocky glory ,0
be underestimated ,0
honest insight ,1
awarded mythic status in contemporary culture ,1
